country-name,state-or-province,phys-area-name,principal-cave-name,other-cave-name,cave-id,latitude,longitude,altitude,length,vertical-extent,number-of-entrances,map-link,rock-type,cave-type,contents,comments,cave-system,branch-name,reference,cave-use,curation
Austria,Salzburg,Tennengebirge,Eisriesenwelt,,1511/24,47.511,13.193,1657, >42000,407,,,limestone,,permanent ice,"surface area covered by ice 28,000 m^2",,,May et al. (2011) https://doi.org/10.5194/tc-5-81-2011; Obleitner and Spötl (2011) https://doi.org/10.5194/tc-5-245-2011; Spötl et al. (2018) https://doi.org/10.1016/B978-0-12-811739-2.00013-9; Margesin et al. (2004) https://doi.org/10.1099/ijs.0.63124-0; Schöner et al. (2011) https://doi.org/10.5194/tc-5-603-2011,guided tourist cave,
Austria,Steiermark; Oberösterreich,Totes Gebirge,Schönberg-Höhlensystem,,1626/300,47.718,13.787,1459-1933,149123,1061,34,,limestone,,permanent ice,"perennial ice found near entrances of Feuertal-Eishöhle, Raucherkarhöhle, and Altarkögerlhöhle",,Feuertal-Eishöhle; Raucherkarhöhle; Altarkögerlhöhle,Spötl et al. (2018) https://doi.org/10.1016/B978-0-12-811739-2.00013-9; https://hoehle.org/laengste-tiefste; https://de.wikipedia.org/wiki/Sch%C3%B6nberg-H%C3%B6hlensystem,,
Austria,Steiermark; Oberösterreich,Totes Gebirge,Feuertal-Eishöhle,,1626/18,,,1718,,,,,,,permanent ice,,Schönberg-Höhlensystem,,Spötl et al. (2018) https://doi.org/10.1016/B978-0-12-811739-2.00013-9; Jansky (1986) https://www.zobodat.at/pdf/Hoehle_037_0168-0171.pdf,,
Austria,Oberösterreich,Dachstein,Dachstein-Mammuthöhle,,1547/9,47.534,13.708,927-1828; 1391 main entrance,67437,1207,21,,,,permanent ice,perennial ice near western entrance (Westeingang) 1391masl,,,Spötl et al. (2018) https://doi.org/10.1016/B978-0-12-811739-2.00013-9; Plan and Xaver (2010) https://www.zobodat.at/pdf/Hoehle_061_0018-0038.pdf; Mais and Pavuza (2000) https://www.zobodat.at/pdf/Hoehle_051_0121-0125.pdf,,
Austria,Oberösterreich,Dachstein,Dachstein-Rieseneishöhle,,1547/17,,,1455,2000,70,,,,,permanent ice,,,,https://de.wikipedia.org/wiki/Dachstein-Rieseneish%C3%B6hle,,
Austria,Oberösterreich,Sarstein,Eisgruben-Eishöhle,,1611/39,,,1720 main entrance,213,97,,,,,permanent ice,,,,Spötl et al. (2018) https://doi.org/10.1016/B978-0-12-811739-2.00013-9; Achleitner (1995) https://www.zobodat.at/pdf/Hoehle_046_0001-0005.pdf,,
Austria,Salzburg,Tennengebirge,Schneeloch,,1511/7,,,1450 main entrance,10319,1101,,,,,permanent ice,,,,Spötl et al. (2018) https://doi.org/10.1016/B978-0-12-811739-2.00013-9; https://hoehle.org/laengste-tiefste,,
Austria,Steiermark,Schneealpe,Schneeloch,,1851/7,,,1450,721,68,,,limestone,,permanent ice,,,,Herrman et al. (2010) Die Höhle #61 https://www.zobodat.at/pdf/Hoehle_061_0057-0072.pdf,,
Austria,Steiermark,Hochschwab,Beilstein Eishöhle,,1741/2,,,1308 main entrance,,,,,,,permanent ice,,,,Spötl et al. (2018) https://doi.org/10.1016/B978-0-12-811739-2.00013-9,guided tourist cave,
Austria,Oberösterreich,Sengsengebirge,Kraterschacht,,1651/24,,,1531 main entrance,,250,,,,,permanent ice,,,,Spötl et al. (2018) https://doi.org/10.1016/B978-0-12-811739-2.00013-9; Weißmair (2011) https://www.zobodat.at/pdf/Hoehle_062_0027-0030.pdf,,
