country-name,state-or-province,phys-area-name,principal-cave-name,other-cave-name,cave-id,latitude,longitude,altitude,length,vertical-extent,number-of-entrances,rock-type,cave-type,contents,comments,cave-system,branch-name,reference,cave-use,curation
Austria,Salzburg,Tennengebirge,Eisriesenwelt,,AT-1511/24,47.511,13.193,1657, >42000,407,,limestone,,permanent ice,"surface area covered by ice 28,000 m^2",,,May et al. (2011) https://doi.org:10.5194/tc-5-81-2011; Obleitner and Spötl (2011) https://doi.org:10.5194/tc-5-245-2011; Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9; Margesin et al. (2004) https://doi.org:10.1099/ijs.0.63124-0,guided tourist cave,
Austria,Steiermark; Oberösterreich,Totes Gebirge,Schönberg-Höhlensystem,,AT-1626/300,47.718,13.787,1459-1933,149123,1061,34,,,permanent ice,"perennial ice found near entrances of Feuertal-Eishöhle, Raucherkarhöhle, and Altarkögerlhöhle",,Feuertal-Eishöhle; Raucherkarhöhle; Altarkögerlhöhle,Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9; https://hoehle.org/laengste-tiefste,,
Austria,,,Feuertal-Eishöhle,,,,,1718,,,,,,permanent ice,,Schönberg-Höhlensystem,,Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9,,
Austria,Oberösterreich,Dachstein,Dachstein-Mammuthöhle,,AT-1547/9,47.534,13.708,927-1828; 1391 main entrance,67437,1207,21,,,permanent ice,perennial ice near western entrance (Westeingang) 1391masl,,,Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9; Die Höhle #55 7-2004,,
Austria,,,Hundsalm Eis- und Tropfsteinhöhle,,,47.545,12.027,,,,,,,permanent ice,,,,Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9,,
Austria,,Sarstein,Eisgruben-Eishöhle,,,,,1720 main entrance,,,,,,permanent ice,,,,Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9,,
Austria,Salzburg,Tennengebirge,Schneeloch,,AT-1511/7,,,1450 main entrance,10319,1101,,,,permanent ice,,,,Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9; https://hoehle.org/laengste-tiefste,,
Austria,Steiermark,Schneealpe,Schneeloch,,AT-1851/7,,,1440,721,68,,,,permanent ice,,,,Die Höhle #61 1-4/2010,,
Austria,,Hochschwab,Beilstein Eishöhle,,,,,1308 main entrance,,,,,,permanent ice,,,,Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9,,
Austria,,Sengsengebirge,Kraterschacht,,,,,1531 main entrance,,,,,,permanent ice,,,,Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9,,
Austria,Salzburg,Tennengebirge,Eiskogelhöhle,Eiskogel-Tropfsteinhöhle,AT-1511/101,47.49500,13.28922,2110,~4600,420,,,,permanent ice,,Eiskogel-Richter-Höhle,,https://de.wikipedia.org/wiki/Eiskogelh%C3%B6hle,guided tourist cave,
Austria,Tirol,Tennengebirge,Hundalm Eishöhle,Hundalm Eis- und Tropfsteinhöhle,,47.5450,12.0264,1515,264,55,,,,permanent ice,,,,https://de.wikipedia.org/wiki/Hundalm-Eish%C3%B6hle,guided tourist cave,
